ident,type,name,iata,icao,iso_country,municipality,lat,lng
OMAL,large_airport,Al Ain International Airport,AAN,OMAL,AE,Al Ain,24.2617,55.6092
OMAD,large_airport,Al Bateen Executive Airport,AZI,OMAD,AE,Abu Dhabi,24.42706,54.45987
OMAM,medium_airport,Al Dhafra Air Base,DHF,OMAM,AE,,24.2482,54.5477
OMDW,large_airport,Al Maktoum International Airport,DWC,OMDW,AE,Dubai(Jebel Ali),24.89617,55.16235
OMDM,medium_airport,Al Minhad Air Base,NHD,OMDM,AE,Dubai,25.0268,55.3662
OMDL,small_airport,Delma Airport,ZDY,OMDL,AE,Delma Island,24.51,52.3352
OMDB,large_airport,Dubai International Airport,DXB,OMDB,AE,Dubai,25.24979,55.37099
AE-0237,seaplane_base,Dubai Seaplane Terminal,DST,AE-0237,AE,,25.263,55.272
OMFJ,large_airport,Fujairah International Airport,FJR,OMFJ,AE,Fujairah,25.10841,56.32806
OMRK,large_airport,Ras Al Khaimah International Airport,RKT,OMRK,AE,Ras Al Khaimah,25.6135,55.9388
AE-0221,medium_airport,Sas Al Nakheel Air Base,,OMNK,AE,Sas Al Nakheel,24.44128,54.51696
OMSJ,large_airport,Sharjah International Airport,SHJ,OMSJ,AE,Sharjah,25.3286,55.5172
OMBY,medium_airport,Sir Bani Yas Airport,XSB,OMBY,AE,Sir Bani Yas,24.28361,52.58028
AYM,seaplane_base,Yas Island Seaplane Base,AYM,AYM,AE,Abu Dhabi,24.467,54.6103
OMAA,large_airport,Zayed International Airport,AUH,OMAA,AE,Abu Dhabi,24.44097,54.64924
OAKN,large_airport,Ahmad Shah Baba International Airport,KDH,OAKN,AF,Kandahar,31.50577,65.84796
OAIX,medium_airport,Bagram Airfield,OAI,OAIX,AF,Bagram,34.9461,69.265
OABN,small_airport,Bamyan Airport,BIN,OABN,AF,Bamyan,34.80892,67.81663
OABT,small_airport,Bost Airport,BST,OABT,AF,Lashkar Gah,31.5597,64.365
OAZI,small_airport,Camp Shorabak Airfield,OAZ,OAZI,AF,Lashkar Gah,31.84874,64.22317
OACC,small_airport,Chaghcharan Airport,CCN,OACC,AF,Chaghcharan,34.52647,65.27102
OADZ,small_airport,Darwaz Airport,DAZ,OADZ,AF,Darwaz,38.4618,70.88161
OADY,small_airport,Dwyer Airport,DWR,OADY,AF,Reg,31.09126,64.06605
OAFR,small_airport,Farah Airport,FAH,OAFR,AF,Farah,32.36667,62.16535
OAFZ,small_airport,Fayzabad Airport,FBD,OAFZ,AF,Fayzabad,37.12215,70.5201
OAGZ,small_airport,Gardez Airport,GRG,OAGZ,AF,Gardez,33.62737,69.23702
OAGN,small_airport,Ghazni Airport,GZI,OAGN,AF,Ghazni,33.48785,68.52524
OAHR,large_airport,Herat - Khwaja Abdullah Ansari International Airport,HEA,OAHR,AF,Guzara,34.21,62.2283
OAJL,medium_airport,Jalalabad Airport,JAA,OAJL,AF,Jalalabad,34.3998,70.4986
OAKB,large_airport,Kabul International Airport,KBL,OAKB,AF,Kabul,34.5659,69.2123
OAKS,medium_airport,Khost International Airport,KHT,OAKS,AF,Khost,33.2846,69.80734
OAHN,small_airport,Khwahan Airport,KWH,OAHN,AF,Khwahan,37.89002,70.20383
OAUZ,medium_airport,Kunduz Airport,UND,OAUZ,AF,Kunduz,36.6651,68.9108
OAMN,medium_airport,Maymana Zahiraddin Faryabi Airport,MMZ,OAMN,AF,Maymana,35.9308,64.7609
OAMS,large_airport,Mazar-i-Sharif International Airport,MZR,OAMS,AF,Mazar-i-Sharif,36.70412,67.21046
OANZ,small_airport,Nimroz Airport,IMZ,OANZ,AF,Ziarat-e Amiran Saseb,30.96333,62.06083
OARG,small_airport,Orūzgān Airport,URZ,OARG,AF,Orūzgān,32.903,66.6309
OAQN,small_airport,Qala-i-Naw Airport,LQN,OAQN,AF,Qala-i-Naw,34.98547,63.1174
OARZ,small_airport,Razer Airport,KUR,OARZ,AF,Skazar,36.02989,70.71416
OASL,small_airport,Salerno Airport,OLR,OASL,AF,Khost,33.3638,69.9561
OADS,small_airport,Sardeh Band Airport,SBF,OADS,AF,Sardeh Band,33.3207,68.6365
OASH,small_airport,Shank Air Base,OAA,OASH,AF,Baraki Barak,33.92222,69.07794
OASA,small_airport,Sharana Airstrip,OAS,OASA,AF,Sharana,33.12575,68.83852
OASN,small_airport,Sheghnan Airport,SGA,OASN,AF,Shiveh,37.49764,71.50848
OASD,small_airport,Shindand Air Base,OAH,OASD,AF,Shindand,33.3913,62.261
OATQ,small_airport,Taleqan Airport,TQN,OATQ,AF,Taleqan,36.7707,69.532
OATN,small_airport,Tarinkot Airport,TII,OATN,AF,Tarinkot,32.6042,65.8658
OAOG,small_airport,Urgun Airport,URN,OAOG,AF,Urgun,32.93113,69.15317
AG-0001,medium_airport,Burton-Nibbs International Airport,BBQ,TAPB,AG,Codrington,17.62119,-61.79835
TAPA,large_airport,V. C. Bird International Airport,ANU,TAPA,AG,Osbourn,17.1367,-61.7927
TQPF,medium_airport,Clayton J. Lloyd International Airport,AXA,TQPF,AI,The Valley,18.20477,-63.05383
LAKU,medium_airport,Kukës International Airport,KFZ,LAKU,AL,Kukës,42.0358,20.41596
LAKV,medium_airport,Kuçovë Air Base,,LAKV,AL,Kuçovë,40.7719,19.9019
LATI,large_airport,Tirana International Airport Mother Teresa,TIA,LATI,AL,Rinas,41.4147,19.7206
UDYE,medium_airport,Erebuni Airport,,UDYE,AM,Yerevan,40.1221,44.465
UDSG,large_airport,Shirak International Airport,LWN,UDSG,AM,Gyumri,40.7504,43.8593
AM-0001,small_airport,Syunik Airport,YUK,UDCK,AM,Kapan,39.20227,46.4552
UDYZ,large_airport,Zvartnots International Airport,EVN,UDYZ,AM,Yerevan,40.14894,44.39789
FNHU,medium_airport,Albano Machado Airport,NOV,FNHU,AO,Huambo,-12.8089,15.7605
FNAM,small_airport,Ambriz Airport,AZZ,FNAM,AO,Ambriz,-7.86222,13.1161
AO-0005,small_airport,Andulo Airport,ANL,AO-0005,AO,Andulo,-11.4723,16.7109
FNBG,medium_airport,Benguela Airport,BUG,FNBG,AO,Benguela,-12.609,13.4037
FNCA,medium_airport,Cabinda Airport,CAB,FNCA,AO,Cabinda,-5.59839,12.18815
FNCF,small_airport,Cafunfo Airport,CFF,FNCF,AO,Cafunfo,-8.78361,17.9897
FNCX,small_airport,Camaxilo Airport,CXM,FNCX,AO,Camaxilo,-8.37361,18.9236
AO-CNZ,small_airport,Cangamba Airport,CNZ,AO-CNZ,AO,Cangamba,-13.7106,19.8611
AO-0001,small_airport,Catoca Airport,CTV,FNCO,AO,Saurimo,-9.43136,20.31156
FNCT,medium_airport,Catumbela Airport,CBT,FNCT,AO,Catumbela,-12.4792,13.4869
FNCZ,small_airport,Cazombo Airport,CAV,FNCZ,AO,Cazombo,-11.8931,22.91624
FNCH,small_airport,Chitato Airport,PGI,FNCH,AO,Chitato,-7.35889,20.8047
FNCV,small_airport,Cuito Cuanavale Airport,CTI,FNCV,AO,Cuito Cuanavale,-15.1603,19.1561
AO-DRC,small_airport,Dirico Airport,DRC,AO-DRC,AO,Dirico,-17.98192,20.76806
FNBJ,large_airport,Dr. Antonio Agostinho Neto International Airport,NBJ,FNBJ,AO,Luanda (Ícolo e Bengo),-9.05073,13.49908
FNDU,medium_airport,Dundo Airport,DUE,FNDU,AO,Chitato,-7.40089,20.8185
JMB,small_airport,Jamba Airport,JMB,FNJM,AO,Jamba,-14.69819,16.07015
FNCP,small_airport,Kapanda Airport,KNP,FNCP,AO,Capanda,-9.76937,15.45532
FNKU,medium_airport,Kuito Airport,SVP,FNKU,AO,Kuito,-12.4046,16.9474
FNLB,small_airport,Lobito Airport,LLT,FNLB,AO,Lobito,-12.3712,13.5366
FNUA,small_airport,Luau Airport,UAL,FNUA,AO,Luau,-10.7158,22.2311
FNUB,medium_airport,Lubango Mukanka International Airport,SDD,FNUB,AO,Lubango,-14.92484,13.57665
FNLK,small_airport,Lucapa Airport,LBZ,FNLK,AO,Lucapa,-8.44234,20.7327
FNUE,medium_airport,Luena Airport,LUO,FNUE,AO,Luena,-11.7681,19.8977
FNBL,small_airport,Lumbala Airport,GGC,FNBL,AO,Lumbala N'guimbo,-14.10511,21.45083
FNLZ,small_airport,Luzamba Airport,LZM,FNLZ,AO,Luzamba,-9.11596,18.0493
FNMA,medium_airport,Malanje Airport,MEG,FNMA,AO,Malanje,-9.52509,16.3124
FNBC,medium_airport,Mbanza Congo Airport,SSY,FNBC,AO,Mbanza Congo,-6.2699,14.247
FNME,medium_airport,Menongue Airport,SPP,FNME,AO,Menongue,-14.6576,17.7198
AO-NDF,small_airport,N'dalatando Airport,NDF,AO-NDF,AO,N'dalatando,-9.28038,14.98243
FNZE,small_airport,N'zeto Airport,ARZ,FNZE,AO,N'zeto,-7.25928,12.86236
FNNG,medium_airport,Negage Airport,GXG,FNNG,AO,Negage,-7.75451,15.2877
FNGI,medium_airport,Ngjiva Pereira Airport,VPE,FNGI,AO,Ngiva,-17.0435,15.6838
FNZG,small_airport,Nzagi Airport,NZA,FNZG,AO,Nzagi,-7.71694,21.3582
FNPA,medium_airport,Porto Amboim Airport,PBN,FNPA,AO,Port Amboim,-10.722,13.7655
FNLU,large_airport,Quatro de Fevereiro International Airport,LAD,FNLU,AO,Luanda,-8.85837,13.2312
FNSA,medium_airport,Saurimo Airport,VHC,FNSA,AO,Saurimo,-9.68907,20.4319
FNSO,medium_airport,Soyo Airport,SZA,FNSO,AO,Soyo,-6.14109,12.3718
FNSU,medium_airport,Sumbe Airport,NDD,FNSU,AO,Sumbe,-11.1679,13.8475
FNUG,medium_airport,Uige Airport,UGO,FNUG,AO,Uige,-7.60307,15.0278
FNWK,small_airport,Waco Kungo Airport,CEO,FNWK,AO,Waco Kungo,-11.4264,15.1014
FNMO,medium_airport,Welwitschia Mirabilis International Airport,MSZ,FNMO,AO,Moçâmedes,-15.2612,12.1468
FNXA,medium_airport,Xangongo Airport,XGN,FNXA,AO,Xangongo,-16.7554,14.9653
NZSP,medium_airport,Amundsen–Scott South Pole Station Airport,,NZSP,AQ,Amundsen-Scott South Pole Station,-90.0,-1.0
AQBC,medium_airport,Boulder Clay Runway,,AQBC,AQ,Zucchelli Station,-74.73937,164.03539
AT03,medium_airport,Concordia Skyway,,AT03,AQ,Concordia Station,-75.10328,123.35825
AQ-0016,medium_airport,Grandfather Skiway,,AQ-0016,AQ,Antartica,-77.53024,-31.82739
SCRM,small_airport,Teniente Rodolfo Marsh Martin Airport,TNM,SCRM,AQ,Villa Las Estrellas,-62.19103,-58.98669
SCGC,small_airport,Union Glacier Blue-Ice Runway,UGL,SCGC,AQ,Union Glacier,-79.77778,-83.32083
AT28,medium_airport,Vostok Skiway,,AT28,AQ,Vostok Station,-78.46614,106.84825
NZWD,medium_airport,Williams Field Skiway,,NZWD,AQ,McMurdo Station,-77.8674,167.05701
AT98,medium_airport,[Duplicate] Wolf's Fang Runway,WFR,AT98,AQ,Queen Maud Island,-71.5264,8.79946
SAWT,small_airport,28 de Noviembre Airport,RYO,SAWT,AR,Rio Turbio,-51.605,-72.2203
AR-0767,medium_airport,Aeroestación Yabotí,,AR-0767,AR,El Soberbio,-27.18031,-54.10737
SABE,large_airport,Aeroparque Jorge Newbery,AEP,SABE,AR,Buenos Aires,-34.55942,-58.41554
SATC,small_airport,Aeródromo de Clorinda,CLX,SATC,AR,Clorinda,-25.3036,-57.7344
SATK,small_airport,Alferez Armando Rodriguez Airport,LLS,SATK,AR,Las Lomitas,-24.7214,-60.5488
SAVT,medium_airport,Almirante Marco Andres Zar Airport,REL,SAVT,AR,Rawson,-43.2105,-65.2703
SAVN,small_airport,Antoine de Saint Exupéry Airport,OES,SAVN,AR,San Antonio Oeste,-40.7512,-65.0343
SAOC,medium_airport,Area De Material Airport,RCU,SAOC,AR,Rio Cuarto,-33.0851,-64.2613
SAZY,medium_airport,Aviador C. Campos Airport,CPC,SAZY,AR,Chapelco/San Martin de los Andes,-40.0754,-71.1373
AR-0005,small_airport,Bragado Airport,QRF,SA2X,AR,Bragado,-35.14581,-60.48029
SAZC,small_airport,Brigadier D.H.E. Ruiz Airport,CSZ,SAZC,AR,Coronel Suarez,-37.4461,-61.8893
SAOU,medium_airport,Brigadier Mayor D Cesar Raul Ojeda Airport,LUQ,SAOU,AR,San Luis,-33.2732,-66.3564
AR-0007,small_airport,Caleta Olivia Airport,CVI,AR-0007,AR,Caleta Olivia,-46.37428,-67.59409
SAWJ,medium_airport,Capitan D Daniel Vazquez Airport,ULA,SAWJ,AR,San Julian,-49.30682,-67.8026
SANL,medium_airport,Capitan V A Almonacid Airport,IRJ,SANL,AR,La Rioja,-29.3816,-66.7958
AR-0390,small_airport,Carmen de Patagones Airport,CPG,SA3R,AR,Carmen de Patagones,-40.7781,-62.9803
SARI,medium_airport,Cataratas Del Iguazú International Airport,IGR,SARI,AR,Puerto Iguazu,-25.7373,-54.4734
SAHE,small_airport,Caviahue Airport,CVH,SAHE,AR,Lafontaine,-37.8514,-71.0092
SANW,small_airport,Ceres Airport,CRR,SANW,AR,Ceres,-29.87229,-61.92793
AR-0744,medium_airport,Chamical Airport,,AR-0744,AR,Gobernador Gordillo,-30.3453,-66.29407
AR-0009,small_airport,Charata Airport,CNT,AR-0009,AR,Charata,-27.2164,-61.2103
SAHC,small_airport,Chos Malal Airport,HOS,SAHC,AR,Chos Malal,-37.4447,-70.2225
SAZB,medium_airport,Comandante Espora Airport,BHI,SAZB,AR,Bahía Blanca,-38.725,-62.1693
SAMM,medium_airport,Comodoro D.R. Salomón Airport,LGS,SAMM,AR,Malargue,-35.4936,-69.5743
SAZP,medium_airport,Comodoro Pedro Zanni Airport,PEH,SAZP,AR,Pehuajó,-35.8446,-61.8576
SAAC,medium_airport,Comodoro Pierrestegui Airport,COC,SAAC,AR,Concordia,-31.2969,-57.9966
SANC,medium_airport,Coronel Felipe Varela International Airport,CTC,SANC,AR,Catamarca,-28.59312,-65.7512
SARC,medium_airport,Corrientes Airport,CNQ,SARC,AR,Corrientes,-27.4455,-58.7619
SATU,medium_airport,Curuzu Cuatia Airport,UZU,SATU,AR,Curuzu Cuatia,-29.7706,-57.9789
SAZW,medium_airport,Cutral-Co Airport,CUT,SAZW,AR,Cutral-Co,-38.9397,-69.2646
SAVR,small_airport,D. Casimiro Szlapelis Airport,ARR,SAVR,AR,Alto Rio Senguerr,-45.0136,-70.8122
SANU,medium_airport,Domingo Faustino Sarmiento Airport,UAQ,SANU,AR,San Juan,-31.5715,-68.4182
SAHR,small_airport,Dr. Arturo H. Illia Airport,GNR,SAHR,AR,General Roca,-39.0007,-67.6205
SAVB,medium_airport,El Bolsón Airfield,EHL,SAVB,AR,El Bolsón,-41.9432,-71.5323
SAWC,large_airport,El Calafate - Commander Armando Tola International Airport,FTE,SAWC,AR,El Calafate,-50.282,-72.05395
SATD,small_airport,El Dorado Airport,ELO,SATD,AR,El Dorado,-26.3975,-54.5747
SAVD,small_airport,El Maitén Airport,EMX,SAVD,AR,El Maitén,-42.0292,-71.1725
SADP,medium_airport,El Palomar Airport,EPA,SADP,AR,El Palomar,-34.6099,-58.6126
SAVY,medium_airport,El Tehuelche Airport,PMY,SAVY,AR,Puerto Madryn,-42.7592,-65.1027
SAVE,medium_airport,Esquel Brigadier Antonio Parodi International Airport,EQS,SAVE,AR,Esquel,-42.908,-71.1395
SAEZ,large_airport,Ezeiza International Airport - Ministro Pistarini,EZE,SAEZ,AR,Buenos Aires (Ezeiza),-34.8222,-58.5358
SARF,medium_airport,Formosa National Airport,FMA,SARF,AR,Formosa,-26.2127,-58.2281
SAST,medium_airport,General Enrique Mosconi Airport,TTG,SAST,AR,Tartagal,-22.61688,-63.79301
SAVC,large_airport,General Enrique Mosconi International Airport,CRD,SAVC,AR,Comodoro Rivadavia,-45.78694,-67.46336
SAZG,medium_airport,General Pico Airport,GPO,SAZG,AR,General Pico,-35.6962,-63.7583
SAAP,medium_airport,General Urquiza Airport,PRA,SAAP,AR,Parana,-31.7948,-60.4804
AR-0010,small_airport,General Villegas Airport,VGS,AR-0010,AR,General Villegas,-34.99573,-62.99972
SAVV,medium_airport,Gobernador Castello Airport,VDM,SAVV,AR,Viedma / Carmen de Patagones,-40.8692,-63.0004
SAWR,small_airport,Gobernador Gregores Airport,GGS,SAWR,AR,Gobernador Gregores,-48.7831,-70.15
SASJ,large_airport,Gobernador Horacio Guzman International Airport,JUJ,SASJ,AR,San Salvador de Jujuy,-24.3928,-65.0978
SAWE,medium_airport,Gobernador Ramón Trejo Noel International Airport,RGA,SAWE,AR,Rio Grande,-53.7777,-67.7494
SAME,large_airport,Governor Francisco Gabrielli International Airport,MDZ,SAME,AR,Mendoza,-32.8317,-68.7929
SATG,medium_airport,Goya Airport,OYA,SATG,AR,Goya,-29.1058,-59.2189
SAAG,medium_airport,Gualeguaychu Airport,GHU,SAAG,AR,Gualeguaychu,-33.00557,-58.61283
SAZT,medium_airport,Héroes de Malvinas Airport,TDL,SAZT,AR,Tandil,-37.23463,-59.22865
SACO,large_airport,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,COR,SACO,AR,Cordoba,-31.31235,-64.20833
SAVJ,small_airport,Ingeniero Jacobacci - Captain H R Bordón Airport,IGB,SAVJ,AR,Ingeniero Jacobacci,-41.3209,-69.5749
SAWS,small_airport,Jose De San Martin Airport,JSM,SAWS,AR,Chubut,-44.0486,-70.4589
SACC,small_airport,La Cumbre Airport,LCM,SACC,AR,La Cumbre,-31.0058,-64.5319
SADL,medium_airport,La Plata Airport,LPG,SADL,AR,La Plata,-34.9722,-57.8947
SAVM,small_airport,Lago Musters Airport,OLN,SAVM,AR,Sarmiento,-45.5752,-69.077
SAVH,medium_airport,Las Heras Airport,LHS,SAVH,AR,Las Heras,-46.53852,-68.96532
SARP,medium_airport,Libertador Gral D Jose De San Martin Airport,PSS,SARP,AR,Posadas,-27.3858,-55.9707
LCP,small_airport,Loncopue Airport,LCP,LCP,AR,Loncopue,-38.0819,-70.6439
AR-0011,small_airport,Los Menucos Airport,LMD,AR-0011,AR,Los Menucos,-40.8177,-68.0747
SAVQ,small_airport,Maquinchao Airport,MQD,SAVQ,AR,Maquinchao,-41.2431,-68.7078
SASA,large_airport,Martín Miguel de Güemes International Airport,SLA,SASA,AR,Salta,-24.856,-65.4862
SATM,small_airport,Mercedes Airport,MDX,SATM,AR,Mercedes,-29.2214,-58.0878
SA14,small_airport,Miramar Airport,MJR,SAEM,AR,Miramar,-38.2271,-57.8697
SARM,medium_airport,Monte Caseros Airport,MCS,SARM,AR,Monte Caseros,-30.2719,-57.6402
SAZO,medium_airport,Necochea Airport,NEC,SAZO,AR,Necochea,-38.49075,-58.81634
SAZF,small_airport,Olavarria Airport,OVR,SAZF,AR,Olavarria,-36.89,-60.2166
SASO,medium_airport,Orán Airport,ORA,SASO,AR,Orán,-23.1528,-64.3292
SARL,medium_airport,Paso De Los Libres Airport,AOL,SARL,AR,Paso de los Libres,-29.6894,-57.1521
SAWP,medium_airport,Perito Moreno Jalil Hamer Airport,PMQ,SAWP,AR,Perito Moreno,-46.5379,-70.9787
SAWG,large_airport,Piloto Civil Norberto Fernández International Airport,RGL,SAWG,AR,Rio Gallegos,-51.60879,-69.30895
SAOV,medium_airport,Presidente Néstor Kirchner Regional Airport,,SAOV,AR,Villa Maria,-32.3201,-63.22663
SAZN,large_airport,Presidente Perón International Airport,NQN,SAZN,AR,Neuquén,-38.949,-68.1557
SAWD,medium_airport,Puerto Deseado Airport,PUD,SAWD,AR,Puerto Deseado,-47.7353,-65.9041
SAFR,small_airport,Rafaela Airport,RAF,SAFR,AR,Rafaela,-31.2825,-61.5017
SATR,medium_airport,Reconquista Airport,RCQ,SATR,AR,Reconquista,-29.21028,-59.68333
SARE,large_airport,Resistencia International Airport,RES,SARE,AR,Resistencia,-27.44991,-59.05613
SAHS,medium_airport,Rincon De Los Sauces Airport,RDS,SAHS,AR,Rincon de los Sauces,-37.3906,-68.9042
SAWM,small_airport,Rio Mayo Airport,ROY,SAWM,AR,Rio Mayo,-45.7039,-70.2456
SAAR,large_airport,Rosario Islas Malvinas International Airport,ROS,SAAR,AR,Rosario,-32.9036,-60.785
SADF,medium_airport,San Fernando Airport,,SADF,AR,San Fernando,-34.4532,-58.5896
SAWU,medium_airport,Santa Cruz Airport,RZA,SAWU,AR,Puerto Santa Cruz,-50.0165,-68.5792
SAZR,medium_airport,Santa Rosa Airport,RSA,SAZR,AR,Santa Rosa,-36.5883,-64.2757
SAZL,medium_airport,Santa Teresita Airport,SST,SAZL,AR,Santa Teresita,-36.5423,-56.7218
SAAV,medium_airport,Sauce Viejo Airport,SFN,SAAV,AR,Santa Fe,-31.7117,-60.8117
SAVS,small_airport,Sierra Grande Airport,SGV,SAVS,AR,Sierra Grande,-41.5917,-65.3394
SAMR,medium_airport,Suboficial Ay Santiago Germano Airport,AFA,SAMR,AR,San Rafael,-34.5883,-68.4039
SAFS,small_airport,Sunchales Aeroclub Airport,NCJ,SAFS,AR,Sunchales,-30.9575,-61.5283
SANT,large_airport,Teniente Benjamín Matienzo International Airport,TUC,SANT,AR,San Miguel de Tucumán,-26.8374,-65.1042
SAZS,large_airport,Teniente Luis Candelaria International Airport,BRC,SAZS,AR,San Carlos de Bariloche,-41.1512,-71.1575
SARS,small_airport,Termal Airport,PRQ,SARS,AR,Presidencia Roque Sáenz Peña,-26.75361,-60.49222
SANR,medium_airport,Termas de Río Hondo international Airport,RHD,SANR,AR,Termas de Río Hondo,-27.4966,-64.93595
SAZH,medium_airport,Tres Arroyos Airport,OYO,SAZH,AR,Tres Arroyos,-38.3869,-60.3297
SAWH,medium_airport,Ushuaia - Malvinas Argentinas International Airport,USH,SAWH,AR,Ushuaia,-54.8433,-68.2958
AR-0017,small_airport,Valcheta Airport,VCF,AR-0017,AR,Valcheta,-40.7,-66.15
SAOS,small_airport,Valle Del Conlara International Airport,RLO,SAOS,AR,Merlo,-32.3847,-65.1865
SANE,medium_airport,Vicecomodoro Angel D. La Paz Aragonés Airport,SDE,SANE,AR,Santiago del Estero,-27.76556,-64.31
SAOD,medium_airport,Villa Dolores Airport,VDR,SAOD,AR,Villa Dolores,-31.9452,-65.1463
SAZV,medium_airport,Villa Gesell Airport,VLG,SAZV,AR,Villa Gesell,-37.2354,-57.0292
SAOR,medium_airport,Villa Reynolds Airport,VME,SAOR,AR,Villa Mercedes,-33.7299,-65.3874
SAHZ,medium_airport,Zapala Airport,APZ,SAHZ,AR,Zapala,-38.9755,-70.1136
AR-0768,medium_airport,[Duplicate] Aeropuerto Pergamino,,AR-0768,AR,,-33.89603,-60.5748
SAZM,medium_airport,Ástor Piazzola International Airport,MDQ,SAZM,AR,Mar del Plata,-37.9342,-57.5733
NSFQ,small_airport,Fitiuta Airport,FTI,NSFQ,AS,Fitiuta Village,-14.21613,-169.42377
NSAS,small_airport,Ofu Airport,OFU,NSAS,AS,Ofu,-14.1844,-169.67
NSTU,large_airport,Pago Pago International Airport,PPG,NSTU,AS,Pago Pago,-14.331,-170.71001
LOWG,large_airport,Graz Airport,GRZ,LOWG,AT,Feldkirchen bei Graz,46.9911,15.4396
LOXZ,medium_airport,Hinterstoisser Air Base,,LOXZ,AT,Zeltweg,47.2028,14.7442
LOIH,small_airport,Hohenems-Dornbirn Airfield,HOH,LOIH,AT,Hohenems,47.38448,9.69978
LOWI,large_airport,Innsbruck Airport,INN,LOWI,AT,Innsbruck,47.2602,11.344
LOWK,large_airport,Klagenfurt Airport,KLU,LOWK,AT,Klagenfurt am Wörthersee,46.6425,14.3377
LOWL,large_airport,Linz-Hörsching Airport,LNZ,LOWL,AT,Linz,48.23536,14.18813
LOWS,large_airport,Salzburg Airport,SZG,LOWS,AT,Salzburg,47.7933,13.0043
LOIC,heliport,Sankt Anton am Arlberg Heliport,ANT,LOIC,AT,Sankt Anton am Arlberg,47.11962,10.24052
LOWW,large_airport,Vienna International Airport,VIE,LOWW,AT,Vienna,48.1103,16.5697
LOAN,medium_airport,Wiener Neustadt East Airport,,LOAN,AT,Wiener Neustadt,47.8433,16.2601
LOXN,medium_airport,Wiener Neustadt West Airport,,LOXN,AT,Wiener Neustadt,47.83693,16.22184
YABI,small_airport,Abingdon Downs Airport,ABG,YABI,AU,Abingdon Downs,-17.60881,143.18353
YPAD,large_airport,Adelaide International Airport,ADL,YPAD,AU,Adelaide,-34.94751,138.53339
AU-AGW,small_airport,Agnew Airport,AGW,YAGN,AU,Agnew,-12.1456,142.14937
YABA,medium_airport,Albany Airport,ALH,YABA,AU,Albany,-34.94333,117.80889
YMAY,medium_airport,Albury Airport,ABX,YMAY,AU,East Albury,-36.06676,146.95915
YALX,small_airport,Alexandria Homestead Airport,AXL,YALX,AU,,-19.0602,136.71001
YBAS,medium_airport,Alice Springs Airport,ASP,YBAS,AU,Alice Springs,-23.80659,133.90343
YAPH,small_airport,Alpha Airport,ABH,YAPH,AU,Alpha,-23.65285,146.58267
AU-AYD,small_airport,Alroy Downs Airport,AYD,YALD,AU,Alroy Downs,-19.2908,136.07899
YADS,small_airport,Alton Downs Airport,AWN,YADS,AU,,-26.48896,139.25991
YAMT,small_airport,Amata Airport,AMT,YAMT,AU,,-26.09736,131.20273
YAMM,small_airport,Ammaroo Airport,AMX,YAMM,AU,,-21.7383,135.242
YAMK,small_airport,Andamooka Airport,ADO,YAMK,AU,Andamooka,-30.4383,137.13699
ANZ,small_airport,Angus Downs Airport,ANZ,YADN,AU,Angus Downs Station,-25.0325,132.2748
YANL,small_airport,Anthony Lagoon Airport,AYL,YANL,AU,,-18.01808,135.53507
YAMC,small_airport,Aramac Airport,AXC,YAMC,AU,,-22.95788,145.2495
YARA,medium_airport,Ararat Airport,ARY,YARA,AU,Ararat,-37.30998,142.98869
YARG,small_airport,Argyle Airport,GYL,YARG,AU,,-16.63694,128.45139
YARM,medium_airport,Armidale Airport,ARM,YARM,AU,Armidale,-30.5281,151.617
YARY,small_airport,Arrabury Airport,AAB,YARY,AU,Tanbar,-26.69639,141.04872
YAGD,small_airport,Augustus Downs Airport,AUD,YAGD,AU,,-18.5087,139.88208
YAUR,small_airport,Aurukun Airport,AUU,YAUR,AU,Aurukun,-13.35402,141.72003
YAUS,small_airport,Austral Downs Airport,AWP,YAUS,AU,,-20.5,137.75
YAUV,small_airport,Auvergne Airport,AVG,YAUV,AU,Auvergne Station,-15.69055,130.00882
YAYE,medium_airport,Ayers Rock Connellan Airport,AYQ,YAYE,AU,Yulara,-25.18591,130.97703
YAYR,small_airport,Ayr Airport,AYR,YAYR,AU,Ayr,-19.59583,147.3245
YBAU,small_airport,Badu Island Airport,BDD,YBAU,AU,Badu Island,-10.14955,142.17366
YBNS,medium_airport,Bairnsdale Airport,BSJ,YBNS,AU,Bairnsdale,-37.88754,147.56938
YBLC,small_airport,Balcanoona Airport,LCN,YBLC,AU,,-30.535,139.33701
YBGO,small_airport,Balgo Hill Airport,BQW,YBGO,AU,Balgo,-20.14833,127.97389
YLLE,small_airport,Ballera Airport,BBL,YLLE,AU,,-27.40563,141.80946
YBNA,medium_airport,Ballina Byron Gateway Airport,BNK,YBNA,AU,Ballina,-28.83324,153.56147
YBRN,medium_airport,Balranald Airport,BZD,YBRN,AU,,-34.62483,143.57711
AU-BYX,small_airport,Baniyala Airport,BYX,YBNI,AU,Baniyala,-13.1981,136.227
YBAR,medium_airport,Barcaldine Airport,BCI,YBAR,AU,Barcaldine,-23.56627,145.30209
YBRY,small_airport,Barimunya Airport,BYP,YBRY,AU,,-22.67389,119.16611
YBAW,small_airport,Barkly Downs Airport,BKP,YBAW,AU,,-20.49583,138.47472
YBWX,small_airport,Barrow Island Airport,BWB,YBWX,AU,,-20.86444,115.40611
